State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community vitality,1D: Education,1Di: 8th grade test scores,2: Health & Environment,2A: Physical health,2B: Mental health ,2C: Environmental health,3: Freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,5: Living Standard,5A: Current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Alabama,2009,3.0263115925093316,1.7694636600173386,2.404255700255421,1.991666666666667,5.939860343097901,8.868514815986197,7.128176737292201,6.369901348202614,6.00722886367399,9.0074,5.018332470009003,6.587328131446152,7.745401689955133,9.0688366506622,5.429254572937171,5.425162164219545,7.434555790484964,3.4157685379541265,4.733,5.351679023887748,5.354133109602711
Alaska,2009,5.583402002266335,7.1741370793864,6.34997091904125,4.0963497267405655,4.713150283897124,9.472223453490418,6.980683369460841,7.226583441715856,5.2716666666666665,8.4438,5.485583561133432,6.601650252022133,7.359173375164512,5.450567313610248,5.844127128879754,6.640871843306108,8.210913445575653,5.070830241036565,5.8205,5.543121707916466,6.014183503852324
Arizona,2009,3.6211119725117236,2.279901154931683,3.22540375588537,2.6281331494634252,6.351009829766414,9.053029489299243,7.348142122314049,7.337297283619467,5.637329083322683,9.069799999999999,5.100836593969193,5.424745018660433,6.324819257416196,6.403961068347998,4.524670779904671,4.967873988568935,7.416330175433597,2.5194178017042734,4.377000000000001,5.853497753210193,5.529157307264575
Arkansas,2009,3.402193495099384,1.28052590391885,4.438308124001765,2.523084448211725,5.366855504265196,9.088315971801784,7.087774127805088,6.43552824505031,5.9179941383649535,8.909799999999999,5.201568233727729,6.009744940733864,7.1579230335137005,8.473115552574258,4.861566847954028,5.839807325957091,7.392907543925611,4.286707107988571,4.6895,4.740850321229779,5.418924657624579
California,2009,4.2031302920272084,4.7747649674010955,3.4153681318399802,1.9761708629449306,6.646217205922827,8.822818636956933,7.661824450512085,7.399302802674714,6.542970548861541,9.043199999999999,3.4334687401170862,5.788704998254767,6.065156910552531,5.935004741124574,5.512253085957002,4.899648918799588,7.569292007510056,2.230005830089121,4.1905,5.710741566562588,5.293414414752264
Colorado,2009,5.024486189645337,5.111480699100975,6.17408378665429,2.6993801222525153,6.113000150573572,9.548799719393562,7.4910753218536685,8.039969116807805,5.222056848753204,9.2112,5.605706985241834,6.394864300241007,7.093501048021961,5.876221622899367,5.696227552460053,5.228835168895384,8.114988191269441,2.342682146521327,4.336,6.64456303660782,5.988244580399255
Connecticut,2009,5.218805631696501,7.031200898293681,5.333876712737291,2.659628019939392,5.850516895815641,9.62420804409174,7.982228323604133,7.858249366908588,6.925635603903811,9.1628,4.466913455879965,6.2617134806125865,6.832966737631364,5.355153002118172,5.690460223593809,5.507225085862268,8.356923765043724,2.6575264066808133,4.0195,6.9532102503761495,5.982818577043316
Delaware,2009,4.921744305018978,6.016883810759255,4.814602544208575,1.8898177439835975,6.9656731211244844,9.358148187700232,7.563520130289106,7.041643321945035,6.5107170689222835,9.1382,5.031157658835989,5.898662772502105,6.381555294547436,6.366328043098759,5.415770250456773,5.12645301326522,7.569807949099445,2.6830980774309934,4.330500000000001,4.69750835549771,5.516254857896703
Florida,2009,4.192546966979496,3.488473444448413,2.956237784193842,1.7575435505052779,8.56793308877045,9.246179325177398,7.370928901836155,7.221431688028354,5.8649550174801135,9.026399999999999,5.072589614308393,5.46308137853859,6.160016966766781,6.703961068347999,4.766145790310399,4.748495245650952,7.56783022081298,1.9291602704889237,3.854,4.542657134194238,5.425541111323666
Georgia,2009,3.317685589775695,2.1839651122480936,3.611161562908547,2.021595521651094,5.454020162295045,9.199335394781611,7.497974605796732,6.939634294249739,6.453089523140457,9.1012,5.304383578529759,6.056649093850526,7.094797308908722,8.044653904340864,5.01850087879233,5.081441885907212,7.383493108301117,2.779390663513307,4.632,5.12980631497324,5.509392360999306
