State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community basics,1Cii: Communications infrastructure,1D: Entrepreneurship,2: Health & Environment,2A: Physical health,2B: Mental and emotional health,2C: Environmental health,3: Freedom,3A: Political freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,4Bi: Prevalence of marriage,4Bii: Prevalence of divorce,5: Living Standard,5A: Current living standard,5Aii: Perceived current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Afghanistan,2009,4.25278031648966,3.570728357535421,3.2350075630999022,1.8152588806631855,1.8147497613263712,7.732906781149791,4.7145535988133185,6.124497878358359,6.52,1.4991629180815982,2.3125,1.2833333333333334,6.933697584536114,5.7868336535750995,7.8236673071502,8.080561515497129,9.244899229633386,9.999999999999998,4.896155671043689,3.0929281197768277,4.2,6.6993832223105505,4.0,3.7247439539931633,4.472405187479324
Albania,2009,6.0686033942064315,7.280203151333845,3.052656211761655,7.144274616639921,4.66446323327984,7.835882991296738,7.712801599431935,8.61985002153191,7.735389524922397,6.783165251841499,6.604401727198246,4.183333333333334,5.147705172566575,2.3788413928617267,3.1376827857234533,7.916568952271423,7.202785382879027,7.628629977022478,5.168262408659832,4.7478775786246565,3.75,5.588647238695007,3.8499999999999996,6.360076083704688,6.176975064294617
Algeria,2009,5.626943985505674,6.0006217083924165,2.2751446914749134,6.344785930074217,5.424703860148433,8.214167597586828,7.208753791575923,8.416375300381109,7.8149999999999995,5.394886074346661,2.938023014447581,1.3833333333333333,5.757254955909101,4.7300764365730545,6.910152873146109,6.784433475245148,6.207289482753845,7.361577467736452,4.999738041753108,5.26933583558432,4.9,4.730140247921897,5.1,6.110068824571808,5.440130435627199
Angola,2009,4.994194705450765,3.1595592684239153,6.438704626133402,4.653979447157688,2.3308568943153767,5.922063518872151,4.9723008200236265,4.826538288094167,7.9783333333333335,2.1120308386433795,3.975,1.0666666666666667,5.6256744017522715,6.214695383802415,8.336057434271497,5.036653419702128,,,6.46543279668122,5.494678108507486,6.033333333333333,7.436187484854954,5.883333333333333,4.724830999128367,5.126238953839375
Argentina,2009,6.877136188101436,7.044165712741888,4.799683791253456,8.270697100469956,6.768826400939911,8.651134336041876,7.705634335153847,8.878688943002377,8.26633080218113,5.971883260278033,7.160116859294822,5.316666666666666,5.180642799113084,3.6134121361393747,4.24682427227875,6.747873462086793,3.778818185636111,7.361577467736452,5.723326401372275,5.679398070545288,4.75,5.767254732199262,3.1,5.513464859958865,6.3600535738323885
Armenia,2009,5.832414087492897,6.528171496405648,2.565189469751864,6.956601347534147,3.959746095068296,7.792108123772827,6.64665978191896,8.386686467748087,7.171932827102893,4.381360050905901,3.7583333333333333,1.1333333333333333,5.700516804511065,3.432189736248395,4.53437947249679,7.968843872773736,5.991512100679753,7.608787889974026,5.331760766263396,4.292850017995116,3.1500000000000004,6.370671514531676,2.75,5.722290517473378,5.498662548498839
Australia,2009,8.165274222207506,9.166592709097056,5.920229620286639,9.742259228869704,9.742259228869704,8.902289552784127,8.719461972769901,9.52538638195269,8.283201947040938,8.349797589316076,8.849825542405963,6.95,5.0544939493225565,4.150536343392084,2.5210726867841693,5.958451555253029,5.6948807681146505,4.570829418273583,6.679758783606454,8.257665951414763,7.775,5.101851615798145,5.425,8.277168014018,7.624330414055063
Austria,2009,8.155201903683194,10.0,5.502050486024115,9.497979521362474,9.497979521362474,8.085979511029377,8.49549359717505,9.448122571367286,7.688560630841792,8.349797589316076,7.444117858759109,6.0,5.100799705589862,3.9987654138066624,3.8775308276133247,6.202833997373062,5.299164329918757,3.938704185451813,6.188330804088835,8.504630966728435,8.25,3.872030641449235,3.7,8.305877698413184,7.2816369279515385
Azerbaijan,2009,6.844938981627533,7.470900958394143,5.804457716334564,7.36043370217253,4.744883404345061,8.078902531236428,6.330621317600763,8.128507608091212,7.948773130841157,2.914583213869923,2.2041666666666666,0.9833333333333334,5.503564926477669,3.3050926553640574,3.370185310728115,7.702037197591281,7.055365333461381,7.61144440325066,6.4019970583424834,5.7789941166849665,5.550000000000001,7.025,4.05,5.7650011920196205,5.5083816904557885
"Bahamas, The",2009,6.99196874802779,,5.2302713816194,6.90434682988495,6.90434682988495,8.841288032579019,8.066611972259695,8.805830070023474,,7.3273938744959155,9.18356606818542,10.0,4.925887003749695,,,4.925887003749695,4.181100062635536,5.6706739448638555,5.201816330576498,8.29113265421643,,2.112500006936566,,7.406305014315376,6.962692522852412
