State,Year,1Ai: Poverty rate,1Aii: Income of bottom 20%,1Bi: Unemployment rate,1Bii: Labor participation rate,1Biii: Perceived job availability,1Ci: Access to basic needs,1Ciia: Mobile phone subscriptions,1Ciib: Broadband internet subscriptions,1Ciii: Literacy Rate,1Di: Business startup costs,1Dii: Time to start a business,1Diii: Perceived climate for new businesses,2Ai: Life expectancy at birth,2Aii: Life expectancy at age 60,2Aiii: Infant mortality rate,2Aiv: Undernourishment,2Bi: Suicide rate,2Bii: Positive experience,2Biii: Suffering,2Ci: Air quality,2Cii: Water quality,2Ciii: Sanitation,3Ai: Political Rights,3Aii: Expression of political views without fear,3B: Civil liberties,3C: Religious freedom,3D: Economic freedom,3E: Perceived Freedom,4Ai: Civic engagement,4Aiia: Importance of Religion,4Aiib: Religious attendance,4Bia: Marriage Rate,4Bib: Self-Reported Marriage,4Biia: Divorce Rate,4Biib: Self-Reported Divorce,4Biii: Children Living with Biological Parents,4Biv: Time spent with friends and family,5Ai: GDP per capita,5Aiia: Perceived personal living standard,5Aiib: Perceived national living standard,5Bi: GDP per capita growth,5Biia: Perceived improvement in personal living standard,5Biib: Perceived improvement in national living standard,6A: Violence and ethnic warfare,6B: Human rights violations,6C: Law and Order,6D: Trust in national institutions,6E: Corruption in business and government,6F: Bureaucracy quality
(North) Sudan,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
(North) Sudan,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
Afghanistan,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Afghanistan,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
